contextRef,count
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
PAsOn12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
PAsOn12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis,1
PAsOn12_31_2020_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_GrowthUnitsOutstandingMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2019To12_31_2019_CommonStockMemberusgaapStatementEquityComponentsAxis_SeriesDConvertibleStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2019To12_31_2019_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis_SeriesDConvertibleStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2019To12_31_2019_SeriesDConvertibleStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2019To12_31_2019_AccumulatedOtherComprehensiveIncomeMemberusgaapStatementEquityComponentsAxis,1
P01_01_2019To12_31_2019_RetainedEarningsMemberusgaapStatementEquityComponentsAxis,1
P01_01_2020To12_31_2020_CommonStockMemberusgaapStatementEquityComponentsAxis_SeriesHOneConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2020To12_31_2020_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis_SeriesHOneConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2020To12_31_2020_SeriesHOneConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2020To12_31_2020_AccumulatedOtherComprehensiveIncomeMemberusgaapStatementEquityComponentsAxis,1
P01_01_2020To12_31_2020_RetainedEarningsMemberusgaapStatementEquityComponentsAxis,1
P01_01_2021To12_31_2021_AccumulatedOtherComprehensiveIncomeMemberusgaapStatementEquityComponentsAxis,1
P01_01_2021To12_31_2021_RetainedEarningsMemberusgaapStatementEquityComponentsAxis,1
PAsOn12_31_2020_TwoThousandAndFourteenRevolvingCreditFacilityMemberusgaapCreditFacilityAxis,1
PAsOn12_31_2021_AccumulatedOtherComprehensiveIncomeMemberusgaapStatementEquityComponentsAxis,1
PAsOn12_31_2021_RetainedEarningsMemberusgaapStatementEquityComponentsAxis,1
P01_01_2021To12_31_2021_ConversionOfRedeemableConvertiblePreferredStockToCommonStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2020To12_31_2020_ConversionOfRedeemableConvertiblePreferredStockToCommonStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2019To12_31_2019_ConversionOfRedeemableConvertiblePreferredStockToCommonStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2021To12_31_2021_ConversionOfConvertiblePreferredStockWarrantsIntoCommonStockWarrantsMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2020To12_31_2020_ConversionOfConvertiblePreferredStockWarrantsIntoCommonStockWarrantsMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2019To12_31_2019_ConversionOfConvertiblePreferredStockWarrantsIntoCommonStockWarrantsMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2021To12_31_2021_RedeemableConvertiblePreferredStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2020To12_31_2020_RedeemableConvertiblePreferredStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2019To12_31_2019_RedeemableConvertiblePreferredStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
P01_01_2021To12_31_2021_ConvertiblePreferredStockMemberusgaapConversionOfStockByUniqueDescriptionAxis,1
PAsOn12_31_2021_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis,1
P01_01_2021To12_31_2021_CommonClassAMemberusgaapStatementClassOfStockAxis_TwoThousandAndTwentyEquityIncentivePlanMemberusgaapPlanNameAxis,1
P01_01_2021To12_31_2021_CommercialContractMemberPLTRTypeOfContractAxis_InvestmentAgreementMemberusgaapTypeOfArrangementAxis_MinimumMembersrtRangeAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
